Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
3/1/2020,Albany,0,0,0,0
3/2/2020,Albany,0,0,0,0
3/3/2020,Albany,0,0,0,0
3/4/2020,Albany,0,0,0,0
3/5/2020,Albany,0,0,3,3
3/6/2020,Albany,0,0,0,3
3/7/2020,Albany,0,0,5,8
3/8/2020,Albany,0,0,2,10
3/9/2020,Albany,0,0,3,13
3/10/2020,Albany,0,0,2,15
3/11/2020,Albany,0,0,13,28
3/12/2020,Albany,1,1,11,39
3/13/2020,Albany,2,3,26,65
3/14/2020,Albany,3,6,108,173
3/15/2020,Albany,6,12,108,281
3/16/2020,Albany,11,23,140,421
3/17/2020,Albany,13,36,267,688
3/18/2020,Albany,7,43,331,1019
3/19/2020,Albany,18,61,450,1469
3/20/2020,Albany,27,88,499,1968
3/21/2020,Albany,35,123,577,2545
3/22/2020,Albany,4,127,197,2742
3/23/2020,Albany,19,146,144,2886
3/24/2020,Albany,6,152,198,3084
3/25/2020,Albany,19,171,93,3177
3/26/2020,Albany,16,187,112,3289
3/27/2020,Albany,8,195,101,3390
3/28/2020,Albany,10,205,73,3463
3/29/2020,Albany,12,217,61,3524
3/30/2020,Albany,9,226,72,3596
3/31/2020,Albany,14,240,108,3704
4/1/2020,Albany,13,253,106,3810
4/2/2020,Albany,14,267,105,3915
4/3/2020,Albany,26,293,123,4038
4/4/2020,Albany,12,305,117,4155
4/5/2020,Albany,14,319,89,4244
4/6/2020,Albany,14,333,86,4330
4/7/2020,Albany,9,342,74,4404
4/8/2020,Albany,37,379,229,4633
4/9/2020,Albany,47,426,332,4965
4/10/2020,Albany,20,446,159,5124
4/11/2020,Albany,32,478,223,5347
4/12/2020,Albany,21,499,193,5540
4/13/2020,Albany,36,535,216,5756
4/14/2020,Albany,13,548,106,5862
4/15/2020,Albany,33,581,301,6163
4/16/2020,Albany,38,619,273,6436
4/17/2020,Albany,29,648,291,6727
4/18/2020,Albany,34,682,305,7032
4/19/2020,Albany,5,687,103,7135
4/20/2020,Albany,17,704,164,7299
4/21/2020,Albany,33,737,236,7535
4/22/2020,Albany,21,758,178,7713
4/23/2020,Albany,47,805,319,8032
4/24/2020,Albany,94,899,626,8658
4/25/2020,Albany,49,948,402,9060
4/26/2020,Albany,31,979,263,9323
4/27/2020,Albany,30,1009,197,9520
4/28/2020,Albany,58,1067,351,9871
4/29/2020,Albany,98,1165,439,10310
4/30/2020,Albany,39,1204,378,10688
5/1/2020,Albany,34,1238,434,11122
5/2/2020,Albany,20,1258,441,11563
5/3/2020,Albany,29,1287,391,11954
5/4/2020,Albany,7,1294,130,12084
5/5/2020,Albany,27,1321,367,12451
5/6/2020,Albany,27,1348,407,12858
5/7/2020,Albany,36,1384,385,13243
